img,healthy,symptomatic
ctrol_1-1,98.5477115217246,1.45228847827537
ctrol_1-2,84.3602998942805,15.6397001057195
ctrol_1-3,96.9056462405635,3.09435375943648
ctrol_1-4,92.5327926961466,7.46720730385335
ctrol_2-1,95.781414878164,4.218585121836
ctrol_2-2,81.5484963230015,18.4515036769985
ctrol_2-3,90.496695594352,9.50330440564802
ctrol_2-4,98.6779802678198,1.32201973218017
ctrol_3-1,97.4362380190617,2.5637619809383
ctrol_3-2,92.6285253188276,7.37147468117245
ctrol_3-3,94.2776833473068,5.72231665269322
inf_1-1,95.1524733737478,4.84752662625217
inf_1-2,94.4506355456087,5.54936445439125
inf_2-1,88.1791533231656,11.8208466768344
inf_2-2,90.6246488527316,9.37535114726836
inf_3-1,90.1697755621519,9.83022443784808
inf_3-2,77.3602587828683,22.6397412171317
ra_1,86.3824464837717,13.6175535162283
ra_2-1,92.3847129634161,7.61528703658394
ra_2-2,79.6896020442674,20.3103979557326
ra_3-1,91.7306685204064,8.26933147959364
ra_3-2,98.1617862514895,1.83821374851048
